  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10770781E+02  0.29968594E-08
  0.11206018E+02  0.29952004E-08
  0.11658843E+02  0.29916990E-08
  0.12129965E+02  0.29862991E-08
  0.12620126E+02  0.29789647E-08
  0.13130093E+02  0.29696850E-08
  0.13660667E+02  0.29584807E-08
  0.14212682E+02  0.29453960E-08
  0.14787003E+02  0.29304063E-08
  0.15384532E+02  0.29134605E-08
  0.16006206E+02  0.28945247E-08
  0.16653001E+02  0.28735861E-08
  0.17325933E+02  0.28506374E-08
  0.18026058E+02  0.28256795E-08
  0.18754474E+02  0.27987421E-08
  0.19512324E+02  0.27698750E-08
  0.20300798E+02  0.27390758E-08
  0.21121134E+02  0.27063335E-08
  0.21974619E+02  0.26716583E-08
  0.22862593E+02  0.26350667E-08
  0.23786448E+02  0.25965720E-08
  0.24747636E+02  0.25562095E-08
  0.25747664E+02  0.25140438E-08
  0.26788103E+02  0.24701613E-08
  0.27870585E+02  0.24246049E-08
  0.28996808E+02  0.23774116E-08
  0.30168542E+02  0.23286403E-08
  0.31387624E+02  0.22783662E-08
  0.32655968E+02  0.22266860E-08
  0.33975564E+02  0.21737183E-08
  0.35348484E+02  0.21195532E-08
  0.36776883E+02  0.20642800E-08
  0.38263002E+02  0.20080031E-08
  0.39809173E+02  0.19508315E-08
  0.41417824E+02  0.18928945E-08
  0.43091479E+02  0.18343408E-08
  0.44832764E+02  0.17752996E-08
  0.46644414E+02  0.17158946E-08
  0.48529270E+02  0.16562594E-08
  0.50490292E+02  0.15965254E-08
  0.52530556E+02  0.15368309E-08
  0.54653266E+02  0.14773152E-08
  0.56861752E+02  0.14181207E-08
  0.59159481E+02  0.13593779E-08
  0.61550060E+02  0.13012070E-08
  0.64037239E+02  0.12437309E-08
  0.66624923E+02  0.11870919E-08
  0.69317172E+02  0.11314312E-08
  0.72118213E+02  0.10768259E-08
  0.75032441E+02  0.10233114E-08
  0.78064431E+02  0.97101253E-09
  0.81218940E+02  0.92007314E-09
  0.84500920E+02  0.87055947E-09
  0.87915522E+02  0.82249956E-09
  0.91468104E+02  0.77594225E-09
  0.95164243E+02  0.73093491E-09
  0.99009740E+02  0.68753734E-09
  0.10301063E+03  0.64579076E-09
  0.10717319E+03  0.60568384E-09
  0.11150396E+03  0.56722735E-09
  0.11600973E+03  0.53044232E-09
  0.12069757E+03  0.49532900E-09
  0.12557484E+03  0.46186209E-09
  0.13064920E+03  0.43001976E-09
  0.13592861E+03  0.39978628E-09
  0.14142136E+03  0.37114034E-09
  0.14713606E+03  0.34403354E-09
  0.15308169E+03  0.31842841E-09
  0.15926757E+03  0.29429481E-09
  0.16570342E+03  0.27158400E-09
  0.17239934E+03  0.25023947E-09
  0.17936583E+03  0.23021829E-09
  0.18661383E+03  0.21148161E-09
  0.19415472E+03  0.19396053E-09
  0.20200033E+03  0.17760800E-09
  0.21016297E+03  0.16238445E-09
  0.21865546E+03  0.14822501E-09
  0.22749111E+03  0.13507903E-09
  0.23668381E+03  0.12290081E-09
  0.24624798E+03  0.11163841E-09
  0.25619863E+03  0.10124128E-09
  0.26655137E+03  0.91660021E-10
  0.27732246E+03  0.82847793E-10
  0.28852879E+03  0.74759814E-10
  0.30018797E+03  0.67352071E-10
  0.31231828E+03  0.60576704E-10
  0.32493876E+03  0.54394618E-10
  0.33806922E+03  0.48765031E-10
  0.35173028E+03  0.43649106E-10
  0.36594337E+03  0.39008497E-10
  0.38073079E+03  0.34807076E-10
  0.39611576E+03  0.31011974E-10
  0.41212242E+03  0.27589337E-10
  0.42877589E+03  0.24508945E-10
  0.44610232E+03  0.21741496E-10
  0.46412888E+03  0.19259567E-10
  0.48288389E+03  0.17037944E-10
  0.50239677E+03  0.15052541E-10
  0.52269814E+03  0.13280629E-10
  0.54381988E+03  0.11701827E-10
  0.56579512E+03  0.10298170E-10
  0.58865836E+03  0.90511412E-11
  0.61244548E+03  0.79449028E-11
  0.63719382E+03  0.69651088E-11
  0.66294222E+03  0.60982860E-11
  0.68973108E+03  0.53333165E-11
  0.71760246E+03  0.46581355E-11
  0.74660009E+03  0.40633331E-11
  0.77676949E+03  0.35399036E-11
  0.80815800E+03  0.30802610E-11
  0.84081490E+03  0.26768172E-11
  0.87479142E+03  0.23238288E-11
  0.91014091E+03  0.20146112E-11
  0.94691884E+03  0.17443589E-11
  0.98518293E+03  0.15086647E-11
  0.10249932E+04  0.13032176E-11
