#  Principal QN n  Azimuthal QN l
#               1               0
# Electron Energy Probability dst
  0.11639158E+02  0.18651234E-11
  0.12170319E+02  0.18571775E-11
  0.12725720E+02  0.18487688E-11
  0.13306467E+02  0.18403298E-11
  0.13913716E+02  0.18324216E-11
  0.14548678E+02  0.18257592E-11
  0.15212617E+02  0.18210592E-11
  0.15906855E+02  0.18185112E-11
  0.16632775E+02  0.18181418E-11
  0.17391823E+02  0.18199300E-11
  0.18185510E+02  0.18237951E-11
  0.19015418E+02  0.18295807E-11
  0.19883200E+02  0.18370376E-11
  0.20790583E+02  0.18458019E-11
  0.21739375E+02  0.18553702E-11
  0.22731466E+02  0.18650703E-11
  0.23768832E+02  0.18740286E-11
  0.24853539E+02  0.18815007E-11
  0.25987747E+02  0.18873302E-11
  0.27173715E+02  0.18914526E-11
  0.28413806E+02  0.18938295E-11
  0.29710489E+02  0.18944566E-11
  0.31066348E+02  0.18933730E-11
  0.32484081E+02  0.18906724E-11
  0.33966514E+02  0.18865172E-11
  0.35516599E+02  0.18811534E-11
  0.37137423E+02  0.18749306E-11
  0.38832214E+02  0.18683231E-11
  0.40604349E+02  0.18619571E-11
  0.42457356E+02  0.18566257E-11
  0.44394926E+02  0.18528149E-11
  0.46420918E+02  0.18504518E-11
  0.48539368E+02  0.18493613E-11
  0.50754495E+02  0.18492812E-11
  0.53070711E+02  0.18498432E-11
  0.55492628E+02  0.18505502E-11
  0.58025072E+02  0.18507493E-11
  0.60673085E+02  0.18498328E-11
  0.63441942E+02  0.18477111E-11
  0.66337158E+02  0.18444177E-11
  0.69364499E+02  0.18400244E-11
  0.72529995E+02  0.18346501E-11
  0.75839950E+02  0.18284720E-11
  0.79300958E+02  0.18217383E-11
  0.82919910E+02  0.18147833E-11
  0.86704016E+02  0.18079957E-11
  0.90660813E+02  0.18014667E-11
  0.94798180E+02  0.17951032E-11
  0.99124359E+02  0.17887740E-11
  0.10364797E+03  0.17823029E-11
  0.10837801E+03  0.17754593E-11
  0.11332391E+03  0.17680343E-11
  0.11849553E+03  0.17600159E-11
  0.12390315E+03  0.17514438E-11
  0.12955756E+03  0.17423787E-11
  0.13547000E+03  0.17329069E-11
  0.14165227E+03  0.17231456E-11
  0.14811666E+03  0.17131974E-11
  0.15487607E+03  0.17030521E-11
  0.16194394E+03  0.16926715E-11
  0.16933436E+03  0.16820051E-11
  0.17706205E+03  0.16709889E-11
  0.18514240E+03  0.16595842E-11
  0.19359150E+03  0.16477980E-11
  0.20242617E+03  0.16356449E-11
  0.21166403E+03  0.16231462E-11
  0.22132346E+03  0.16103250E-11
  0.23142371E+03  0.15971799E-11
  0.24198488E+03  0.15836975E-11
