  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.30514749E+01  0.23115172E-10
  0.31907310E+01  0.23415619E-10
  0.33363422E+01  0.23722446E-10
  0.34885984E+01  0.24035435E-10
  0.36478030E+01  0.24354340E-10
  0.38142729E+01  0.24678879E-10
  0.39883398E+01  0.25008742E-10
  0.41703504E+01  0.25343587E-10
  0.43606672E+01  0.25683046E-10
  0.45596692E+01  0.26026730E-10
  0.47677528E+01  0.26374185E-10
  0.49853324E+01  0.26724866E-10
  0.52128414E+01  0.27078187E-10
  0.54507329E+01  0.27433530E-10
  0.56994808E+01  0.27790252E-10
  0.59595804E+01  0.28147698E-10
  0.62315499E+01  0.28505207E-10
  0.65159309E+01  0.28862136E-10
  0.68132898E+01  0.29217875E-10
  0.71242189E+01  0.29571875E-10
  0.74493374E+01  0.29923678E-10
  0.77892930E+01  0.30272956E-10
  0.81447626E+01  0.30619511E-10
  0.85164544E+01  0.30962705E-10
  0.89051085E+01  0.31301507E-10
  0.93114992E+01  0.31634876E-10
  0.97364357E+01  0.31961790E-10
  0.10180765E+02  0.32281280E-10
  0.10645371E+02  0.32592463E-10
  0.11131179E+02  0.32894582E-10
  0.11639158E+02  0.33187067E-10
  0.12170319E+02  0.33469592E-10
  0.12725720E+02  0.33742159E-10
  0.13306467E+02  0.34005157E-10
  0.13913716E+02  0.34258432E-10
  0.14548678E+02  0.34500837E-10
  0.15212617E+02  0.34731219E-10
  0.15906855E+02  0.34948511E-10
  0.16632775E+02  0.35151787E-10
  0.17391823E+02  0.35340318E-10
  0.18185510E+02  0.35513636E-10
  0.19015418E+02  0.35671626E-10
  0.19883200E+02  0.35814620E-10
  0.20790583E+02  0.35943293E-10
  0.21739375E+02  0.36057240E-10
  0.22731466E+02  0.36155578E-10
  0.23768832E+02  0.36237604E-10
  0.24853539E+02  0.36302865E-10
  0.25987747E+02  0.36351233E-10
  0.27173715E+02  0.36382996E-10
  0.28413806E+02  0.36398363E-10
  0.29710489E+02  0.36396729E-10
  0.31066348E+02  0.36377567E-10
  0.32484081E+02  0.36340619E-10
  0.33966514E+02  0.36285979E-10
  0.35516599E+02  0.36214187E-10
  0.37137423E+02  0.36125901E-10
  0.38832214E+02  0.36020759E-10
  0.40604349E+02  0.35898296E-10
  0.42457356E+02  0.35758268E-10
  0.44394926E+02  0.35600716E-10
  0.46420918E+02  0.35426043E-10
  0.48539368E+02  0.35235002E-10
  0.50754495E+02  0.35027776E-10
  0.53070711E+02  0.34804195E-10
  0.55492628E+02  0.34564309E-10
  0.58025072E+02  0.34308445E-10
  0.60673085E+02  0.34037002E-10
  0.63441942E+02  0.33750171E-10
  0.66337158E+02  0.33448349E-10
  0.69364499E+02  0.33132256E-10
  0.72529995E+02  0.32802744E-10
  0.75839950E+02  0.32460057E-10
  0.79300958E+02  0.32104383E-10
  0.82919910E+02  0.31736081E-10
  0.86704016E+02  0.31355627E-10
  0.90660813E+02  0.30963332E-10
  0.94798180E+02  0.30559554E-10
  0.99124359E+02  0.30144807E-10
  0.10364797E+03  0.29719724E-10
  0.10837801E+03  0.29284806E-10
  0.11332391E+03  0.28840598E-10
  0.11849553E+03  0.28387741E-10
  0.12390315E+03  0.27926629E-10
  0.12955756E+03  0.27457496E-10
  0.13547000E+03  0.26980567E-10
  0.14165227E+03  0.26496164E-10
  0.14811666E+03  0.26004692E-10
  0.15487607E+03  0.25506561E-10
  0.16194394E+03  0.25002034E-10
  0.16933436E+03  0.24491077E-10
  0.17706205E+03  0.23973540E-10
  0.18514240E+03  0.23449806E-10
  0.19359150E+03  0.22920647E-10
  0.20242617E+03  0.22386709E-10
  0.21166403E+03  0.21848165E-10
  0.22132346E+03  0.21304972E-10
  0.23142371E+03  0.20757146E-10
  0.24198488E+03  0.20204879E-10
  0.25302803E+03  0.19648511E-10
  0.26457513E+03  0.19088927E-10
  0.27664920E+03  0.18526954E-10
  0.28927427E+03  0.17962811E-10
  0.30247550E+03  0.17396579E-10
  0.31627917E+03  0.16828964E-10
  0.33071278E+03  0.16260811E-10
  0.34580508E+03  0.15692835E-10
  0.36158613E+03  0.15125659E-10
  0.37808736E+03  0.14560077E-10
  0.39534163E+03  0.13996960E-10
  0.41338331E+03  0.13437357E-10
  0.43224834E+03  0.12882242E-10
  0.45197428E+03  0.12332363E-10
  0.47260044E+03  0.11788328E-10
  0.49416788E+03  0.11250757E-10
  0.51671956E+03  0.10720990E-10
  0.54030041E+03  0.10200332E-10
  0.56495738E+03  0.96892735E-11
  0.59073959E+03  0.91881782E-11
  0.61769839E+03  0.86977936E-11
  0.64588748E+03  0.82195530E-11
  0.67536299E+03  0.77540742E-11
  0.70618363E+03  0.73017132E-11
  0.73841080E+03  0.68631502E-11
  0.77210867E+03  0.64389359E-11
  0.80734438E+03  0.60295233E-11
  0.84418808E+03  0.56352549E-11
  0.88271317E+03  0.52564493E-11
  0.92299639E+03  0.48934423E-11
  0.96511795E+03  0.45465946E-11
  0.10091618E+04  0.42157225E-11
  0.10552155E+04  0.39008261E-11
  0.11033710E+04  0.36021936E-11
  0.11537241E+04  0.33195863E-11
  0.12063751E+04  0.30526017E-11
  0.12614288E+04  0.28011901E-11
  0.13189950E+04  0.25650387E-11
  0.13791882E+04  0.23438247E-11
  0.14421284E+04  0.21372205E-11
  0.15079409E+04  0.19446915E-11
  0.15767568E+04  0.17655931E-11
  0.16487131E+04  0.15995758E-11
  0.17239533E+04  0.14461395E-11
  0.18026270E+04  0.13045738E-11
  0.18848911E+04  0.11743228E-11
  0.19709094E+04  0.10548020E-11
  0.20608532E+04  0.94542759E-12
  0.21549016E+04  0.84560944E-12
  0.22532420E+04  0.75470598E-12
  0.23560703E+04  0.67213847E-12
  0.24635911E+04  0.59734410E-12
  0.25760188E+04  0.52975823E-12
  0.26935771E+04  0.46883545E-12
  0.28165003E+04  0.41405731E-12
  0.29450332E+04  0.36492543E-12
  0.30794318E+04  0.32095787E-12
  0.32199637E+04  0.28171814E-12
  0.33669090E+04  0.24677605E-12
  0.35205601E+04  0.21573323E-12
  0.36812233E+04  0.18822340E-12
  0.38492184E+04  0.16389732E-12
  0.40248800E+04  0.14244099E-12
  0.42085582E+04  0.12355863E-12
  0.44006186E+04  0.10697634E-12
  0.46014438E+04  0.92443790E-13
  0.48114338E+04  0.79738237E-13
  0.50310068E+04  0.68654032E-13
  0.52606002E+04  0.59009025E-13
  0.55006712E+04  0.50633581E-13
  0.57516981E+04  0.43364854E-13
  0.60141807E+04  0.37075859E-13
  0.62886419E+04  0.31647128E-13
  0.65756283E+04  0.26967427E-13
  0.68757115E+04  0.22945756E-13
  0.71894893E+04  0.19494758E-13
  0.75175865E+04  0.16531725E-13
  0.78606566E+04  0.13996904E-13
  0.82193830E+04  0.11833287E-13
  0.85944801E+04  0.99891159E-14
  0.89866950E+04  0.84232167E-14
  0.93968089E+04  0.70895530E-14
  0.98256386E+04  0.59566906E-14
  0.10274038E+05  0.49982896E-14
  0.10742901E+05  0.41877418E-14
  0.11233160E+05  0.35038880E-14
  0.11745793E+05  0.29274468E-14
  0.12281820E+05  0.24441782E-14
  0.12842310E+05  0.20363418E-14
  0.13428377E+05  0.16939188E-14
  0.14041190E+05  0.14072413E-14
  0.14681969E+05  0.11675766E-14
  0.15351991E+05  0.96731122E-15
  0.16052589E+05  0.80134409E-15
  0.16785160E+05  0.66225423E-15
  0.17551162E+05  0.54649131E-15
  0.18352121E+05  0.45033587E-15
  0.19189633E+05  0.37072571E-15
  0.20065365E+05  0.30476622E-15
