# eV, DoS
2.525165109752815218e-02 3.930667797895294768e+01
2.539193804806997787e-02 3.833445811153371352e+01
2.553222499861180009e-02 3.736223824411450778e+01
2.567251194915362231e-02 3.639001837669527362e+01
2.581279889969544800e-02 3.541779850927604656e+01
2.595308585023727022e-02 3.444557864185683371e+01
2.609337280077909244e-02 3.361321356258131487e+01
2.623365975132091465e-02 3.285111700284537761e+01
2.637394670186274034e-02 3.208902044310941193e+01
2.651423365240456256e-02 3.132692388337344980e+01
2.665452060294638478e-02 3.056482732363751254e+01
2.679480755348820700e-02 3.038440068425850527e+01
2.693509450403003269e-02 3.052815184063873843e+01
2.707538145457185491e-02 3.067190299701896805e+01
2.721566840511367713e-02 3.081565415339919767e+01
2.735595535565549935e-02 3.095940530977942728e+01
2.749624230619732504e-02 3.110315646615966045e+01
2.763652925673914726e-02 3.109951485018511264e+01
2.777681620728096948e-02 3.095375214584094437e+01
2.791710315782279517e-02 3.080798944149677610e+01
2.805739010836461392e-02 3.066222673715261493e+01
2.819767705890643961e-02 3.051646403280844666e+01
2.833796400944826530e-02 3.037070132846427839e+01
2.847825095999008405e-02 3.022480907079703627e+01
2.861853791053190973e-02 3.007870188398387867e+01
2.875882486107373195e-02 2.993259469717072463e+01
2.889911181161555417e-02 2.978648751035756703e+01
2.903939876215737986e-02 2.964038032354440588e+01
2.917968571269919861e-02 2.949427313673125539e+01
2.931997266324102430e-02 2.935360263709772255e+01
2.946025961378284652e-02 2.922986333776191614e+01
2.960054656432466874e-02 2.910612403842611329e+01
2.974083351486649443e-02 2.898238473909030688e+01
2.988112046540831665e-02 2.885864543975450758e+01
3.002140741595013887e-02 2.866781311803936205e+01
3.016169436649196109e-02 2.815831803468157091e+01
3.030198131703378678e-02 2.764882295132376555e+01
3.044226826757560900e-02 2.737241923546306666e+01
3.058255521811743122e-02 2.751448696606473732e+01
3.072284216865925691e-02 2.765655469666641153e+01
3.086312911920107566e-02 2.779862242726808574e+01
3.100341606974290135e-02 2.794069015786975996e+01
3.114370302028472703e-02 2.807020269316081595e+01
3.128398997082654925e-02 2.819072551079559474e+01
3.142427692136837147e-02 2.831124832843037709e+01
3.156456387191019369e-02 2.843177114606515943e+01
3.170485082245201591e-02 2.855229396369994177e+01
3.184513777299383813e-02 2.867281678133472766e+01
3.198542472353566035e-02 2.649282876512758378e+01
3.212571167407748951e-02 2.430961947145711832e+01
3.226599862461930479e-02 2.387577583176259921e+01
3.240628557516112701e-02 2.468573511728834546e+01
3.254657252570295617e-02 2.549569440281413435e+01
3.268685947624477839e-02 2.630565368833988416e+01
3.282714642678660061e-02 2.711561297386563041e+01
3.296743337732842283e-02 2.792981817988137294e+01
3.310772032787024505e-02 2.874632002871131675e+01
3.324800727841206727e-02 2.956282187754125701e+01
3.338829422895389643e-02 3.026486325345883799e+01
3.352858117949571864e-02 3.073476031291622235e+01
3.366886813003754086e-02 3.120465737237361381e+01
3.380915508057935615e-02 3.167455443183100883e+01
3.394944203112118530e-02 3.234493603345237744e+01
3.408972898166300752e-02 3.406453016269151846e+01
3.423001593220482974e-02 3.578412429193065236e+01
3.437030288274665890e-02 3.750371842116987864e+01
3.451058983328848112e-02 3.939889207261711590e+01
3.465087678383029640e-02 4.131002289699927843e+01
3.479116373437212556e-02 4.322115372138152622e+01
3.493145068491394778e-02 4.513228454576368165e+01
3.507173763545577000e-02 4.704341537014583707e+01
3.521202458599759222e-02 4.865100535242366675e+01
3.535231153653941444e-02 4.894790512133481286e+01
3.549259848708123666e-02 4.924480489024593766e+01
3.563288543762305888e-02 4.954170465915706956e+01
3.577317238816488804e-02 4.983860442806821567e+01
3.591345933870671026e-02 5.013550419697934757e+01
3.605374628924853248e-02 4.911413458477806415e+01
3.619403323979035469e-02 4.773200761614129561e+01
3.633432019033217691e-02 4.634988064750459813e+01
3.647460714087399913e-02 4.496775367886790065e+01
3.661489409141582829e-02 4.359024242363862811e+01
3.675518104195765051e-02 4.221991133943706132e+01
3.689546799249947273e-02 4.084958025523550162e+01
3.703575494304128801e-02 3.947924917103393483e+01
3.717604189358311717e-02 3.787952828845015318e+01
3.731632884412493939e-02 3.625426959502081559e+01
3.745661579466676161e-02 3.462901090159148509e+01
3.759690274520859077e-02 3.300375220816206934e+01
3.773718969575040605e-02 3.137849351473273529e+01
3.787747664629222827e-02 2.975323482130340480e+01
3.801776359683405743e-02 2.812797612787398904e+01
3.815805054737587965e-02 2.842949892392234190e+01
3.829833749791770187e-02 2.652366987582511371e+01
3.843862444845952409e-02 2.461784082772788551e+01
3.857891139900134631e-02 2.290115976130237740e+01
3.871919834954316852e-02 2.148526382652459787e+01
3.885948530008499074e-02 2.006936789174681834e+01
3.899977225062681990e-02 1.865347195696897487e+01
3.914005920116864212e-02 1.695022826409078576e+01
3.928034615171045740e-02 1.520835059274097034e+01
3.942063310225228656e-02 1.346647292139106611e+01
3.956092005279410878e-02 1.184316944617613032e+01
3.970120700333593100e-02 1.061487768882172844e+01
3.984149395387775322e-02 9.386585931467326560e+00
3.998178090441958238e-02 8.158294174112860730e+00
4.012206785496139766e-02 6.930002416758459738e+00
4.026235480550321988e-02 5.925744727538937440e+00
4.040264175604504904e-02 5.539538541903270996e+00
4.054292870658687126e-02 5.153332356267624981e+00
4.068321565712869348e-02 4.767126170631978077e+00
4.082350260767052263e-02 4.380919984996311634e+00
4.096378955821233792e-02 3.587431985206695373e+00
4.110407650875416014e-02 2.741184478135548552e+00
4.124436345929598235e-02 1.894936971064402398e+00
4.138465040983781151e-02 1.048689463993213389e+00
4.152493736037963373e-02 5.663991735724331900e-01
4.166522431092144901e-02 4.414521139022389851e-01
4.180551126146327817e-02 3.165050542320383964e-01
4.194579821200510039e-02 1.915579945618442470e-01
